pair_id,trial,bpm,phase,beat,beat_time_s,p1_tap_s,p2_tap_s,async_p1_ms,async_p2_ms,diff1,diff2,loop
33,1,90,metronome,1,290.0686,,,,,3.0,0,1
33,1,90,metronome,2,290.7352,290.4981,290.4602,-237.09,-275.02,3.0,0,1
33,1,90,metronome,3,291.4019,291.6121,291.4501,210.18,48.16,3.0,0,1
33,1,90,metronome,4,292.0686,292.0282,292.1025,-40.36,33.88,3.0,0,1
33,1,90,metronome,5,292.7352,292.8025,292.8143,67.25,79.06,3.0,0,1
33,1,90,metronome,6,293.4019,293.4533,293.4952,51.42,93.31,3.0,0,1
33,1,90,metronome,7,294.0686,294.1809,294.1594,112.3,90.87,3.0,0,1
33,1,90,metronome,8,294.7352,294.8789,294.8014,143.7,66.19,3.0,0,1
33,1,90,metronome,9,295.4019,295.4356,295.4332,33.7,31.34,3.0,0,1
33,1,90,metronome,10,296.0686,296.0835,296.0757,14.96,7.13,3.0,0,1
33,1,90,silence,11,296.7352,296.7176,296.7251,-17.61,-10.14,3.0,0,1
33,1,90,silence,12,297.4019,,,,,3.0,0,1
33,1,90,silence,13,298.0686,,,,,3.0,0,1
33,1,90,silence,14,298.7352,,,,,3.0,0,1
33,1,90,silence,15,299.4019,299.0988,299.2779,-303.09,-124.04,3.0,0,1
33,1,90,silence,16,300.0686,300.3424,299.8077,273.86,-260.9,3.0,0,1
33,1,90,silence,17,300.7352,300.9209,300.9991,185.62,263.88,3.0,0,1
33,1,90,silence,18,301.4019,301.5723,301.5782,170.44,176.29,3.0,0,1
33,1,90,silence,19,302.0686,302.1825,302.1886,113.96,120.03,3.0,0,1
33,1,90,silence,20,302.7352,302.805,302.8351,69.77,99.82,3.0,0,1
33,1,90,silence,21,303.4019,303.3691,303.4171,-32.85,15.17,3.0,0,1
33,1,90,silence,22,304.0686,303.9534,304.0575,-115.15,-11.05,3.0,0,1
33,1,90,silence,23,304.7352,304.5595,304.5857,-175.71,-149.55,3.0,0,1
33,1,90,silence,24,305.4019,305.1504,305.2209,-251.55,-180.98,3.0,0,1
33,1,90,silence,25,306.0686,306.0306,305.7907,-37.96,-277.83,3.0,0,1
33,1,90,silence,26,306.7352,306.5099,307.0348,-225.31,299.58,3.0,0,1
33,1,90,silence,27,307.4019,307.5674,307.6055,165.45,203.57,3.0,0,1
33,1,90,silence,28,308.0686,308.2066,308.1709,138.01,102.31,3.0,0,1
33,1,90,silence,29,308.7352,308.8336,308.7933,98.41,58.03,3.0,0,1
33,1,90,silence,30,309.4019,309.3922,309.396,-9.74,-5.95,3.0,0,1
33,1,90,silence,31,310.0686,310.0044,310.0006,-64.19,-68.01,3.0,0,1
33,1,90,silence,32,310.7352,310.5918,310.5857,-143.39,-149.53,3.0,0,1
33,1,90,silence,33,311.4019,311.2112,311.2138,-190.7,-188.15,3.0,0,1
33,1,90,silence,34,312.0686,311.8325,311.8404,-236.09,-228.2,3.0,0,1
33,1,90,silence,35,312.7352,312.4307,312.4371,-304.49,-298.17,3.0,0,1
33,1,90,silence,36,313.4019,313.6677,313.6736,265.83,271.66,3.0,0,1
33,1,90,silence,37,314.0686,314.2658,314.2936,197.19,225.02,3.0,0,1
33,1,90,silence,38,314.7352,314.9244,314.9303,189.17,195.09,3.0,0,1
33,1,90,silence,39,315.4019,315.5276,315.5332,125.66,131.31,3.0,0,1
33,1,90,silence,40,316.0686,316.0774,316.1376,8.84,69.05,3.0,0,1
33,1,90,silence,41,316.7352,316.737,316.6784,1.75,-56.82,3.0,0,1
33,1,90,silence,42,317.4019,317.278,317.2959,-123.88,-105.95,3.0,0,1
33,1,90,silence,43,318.0686,317.903,317.8913,-165.57,-177.23,3.0,0,1
33,1,90,silence,44,318.7352,319.0162,318.4693,280.94,-265.97,3.0,0,1
33,1,90,silence,45,319.4019,319.5588,319.5809,156.95,179.01,3.0,0,1
33,1,90,silence,46,320.0686,320.1707,320.1727,102.08,104.16,3.0,0,1
33,1,90,silence,47,320.7352,320.8248,320.7425,89.54,7.26,3.0,0,1
33,1,90,silence,48,321.4019,321.3606,321.4109,-41.31,9.0,3.0,0,1
33,1,90,silence,49,322.0686,321.9848,321.9627,-83.73,-105.86,3.0,0,1
33,1,90,silence,50,322.7352,322.6546,322.5541,-80.6,-181.18,3.0,0,1
33,1,90,silence,51,323.4019,323.2728,323.249,-129.12,-152.89,3.0,0,1
33,1,90,silence,52,324.0686,323.8769,323.8733,-191.67,-195.25,3.0,0,1
33,1,90,silence,53,324.7352,324.4964,324.4683,-238.85,-266.94,3.0,0,1
33,1,90,silence,54,325.4019,325.1051,325.6204,-296.77,218.52,3.0,0,1
33,1,90,silence,55,326.0686,326.1635,326.2197,94.92,151.14,3.0,0,1
33,1,90,silence,56,326.7352,326.7497,326.8038,14.42,68.55,3.0,0,1
33,1,90,silence,57,327.4019,327.3773,327.3305,-24.56,-71.39,3.0,0,1
33,1,90,silence,58,328.0686,327.9368,327.9552,-131.72,-113.41,3.0,0,1
33,1,90,silence,59,328.7352,328.5279,328.5321,-207.35,-203.14,3.0,0,1
33,1,90,silence,60,329.4019,329.1824,329.1625,-219.46,-239.41,3.0,0,1
33,1,90,silence,61,330.0686,330.347,330.3517,278.39,283.18,3.0,0,1
33,1,90,silence,62,330.7352,330.9066,330.9518,171.41,216.56,3.0,0,1
33,1,90,silence,63,331.4019,331.5372,331.5292,135.34,127.3,3.0,0,1
33,1,90,silence,64,332.0686,332.0972,332.1201,28.68,51.57,3.0,0,1
33,1,90,silence,65,332.7352,332.6824,332.7187,-52.83,-16.54,3.0,0,1
33,1,90,silence,66,333.4019,333.2349,333.344,-166.98,-57.87,3.0,0,1
33,1,90,silence,67,334.0686,333.8735,333.9258,-195.04,-142.73,3.0,0,1
33,1,90,silence,68,334.7352,334.4789,334.5069,-256.37,-228.36,3.0,0,1
33,1,90,silence,69,335.4019,335.6584,335.6619,256.5,259.98,3.0,0,1
33,1,90,silence,70,336.0686,336.2149,336.2543,146.28,185.7,3.0,0,1
33,2,120,metronome,1,346.8002,,,,,3.0,0,1
33,2,120,metronome,2,347.3002,347.3938,347.4925,93.59,192.26,3.0,0,1
33,2,120,metronome,3,347.8002,347.8543,347.8801,54.06,79.83,3.0,0,1
33,2,120,metronome,4,348.3002,348.3141,348.3021,13.83,1.89,3.0,0,1
33,2,120,metronome,5,348.8002,348.7736,348.7754,-26.62,-24.83,3.0,0,1
33,2,120,metronome,6,349.3002,349.2728,349.2706,-27.46,-29.68,3.0,0,1
33,2,120,metronome,7,349.8002,349.7486,349.7623,-51.61,-37.95,3.0,0,1
33,2,120,metronome,8,350.3002,350.2494,350.2631,-50.88,-37.11,3.0,0,1
33,2,120,metronome,9,350.8002,350.7174,350.7777,-82.89,-22.59,3.0,0,1
33,2,120,metronome,10,351.3002,351.2299,351.3022,-70.32,1.96,3.0,0,1
33,2,120,silence,11,351.8002,351.7273,351.7698,-72.94,-30.43,3.0,0,1
33,2,120,silence,12,352.3002,352.2742,352.2985,-26.08,-1.73,3.0,0,1
33,2,120,silence,13,352.8002,352.6942,352.773,-106.08,-27.29,3.0,0,1
33,2,120,silence,14,353.3002,353.1948,353.2693,-105.48,-30.96,3.0,0,1
33,2,120,silence,15,353.8002,353.686,353.7369,-114.23,-63.32,3.0,0,1
33,2,120,silence,16,354.3002,354.1938,354.2046,-106.47,-95.64,3.0,0,1
33,2,120,silence,17,354.8002,354.652,354.6639,-148.27,-136.37,3.0,0,1
33,2,120,silence,18,355.3002,355.1243,355.1302,-175.98,-170.03,3.0,0,1
33,2,120,silence,19,355.8002,355.9572,356.0036,156.98,203.37,3.0,0,1
33,2,120,silence,20,356.3002,356.4254,356.4215,125.16,121.28,3.0,0,1
33,2,120,silence,21,356.8002,356.8557,356.8956,55.41,95.34,3.0,0,1
33,2,120,silence,22,357.3002,357.3153,357.3609,15.03,60.61,3.0,0,1
33,2,120,silence,23,357.8002,357.7758,357.7862,-24.49,-14.05,3.0,0,1
33,2,120,silence,24,358.3002,358.2133,358.2292,-86.92,-71.0,3.0,0,1
33,2,120,silence,25,358.8002,358.6607,358.6742,-139.58,-126.05,3.0,0,1
33,2,120,silence,26,359.3002,359.5152,359.111,214.96,-189.22,3.0,0,1
33,2,120,silence,27,359.8002,359.9834,359.9925,183.17,192.24,3.0,0,1
33,2,120,silence,28,360.3002,360.4121,360.4216,111.85,121.36,3.0,0,1
33,2,120,silence,29,360.8002,360.8605,360.8466,60.27,46.38,3.0,0,1
33,2,120,silence,30,361.3002,361.3059,361.3107,5.69,10.49,3.0,0,1
33,2,120,silence,31,361.8002,361.7599,361.7501,-40.38,-50.1,3.0,0,1
33,2,120,silence,32,362.3002,362.138,362.1802,-162.26,-120.04,3.0,0,1
33,2,120,silence,33,362.8002,362.9965,362.6193,196.3,-180.93,3.0,0,1
33,2,120,silence,34,363.3002,363.3662,363.4933,65.92,193.06,3.0,0,1
33,2,120,silence,35,363.8002,363.8199,363.8959,19.62,95.7,3.0,0,1
33,2,120,silence,36,364.3002,364.2768,364.3197,-23.49,19.48,3.0,0,1
33,2,120,silence,37,364.8002,364.7073,364.8023,-92.94,2.03,3.0,0,1
33,2,120,silence,38,365.3002,365.164,365.2746,-136.28,-25.64,3.0,0,1
33,2,120,silence,39,365.8002,365.6117,365.7452,-188.57,-55.08,3.0,0,1
33,2,120,silence,40,366.3002,366.0928,366.1741,-207.49,-126.14,3.0,0,1
33,2,120,silence,41,366.8002,366.9981,367.022,197.83,221.74,3.0,0,1
33,2,120,silence,42,367.3002,367.4548,367.4391,154.55,138.89,3.0,0,1
33,2,120,silence,43,367.8002,367.8975,367.9217,97.29,121.42,3.0,0,1
33,2,120,silence,44,368.3002,368.334,368.392,33.77,91.72,3.0,0,1
33,2,120,silence,45,368.8002,368.7937,368.8417,-6.55,41.44,3.0,0,1
33,2,120,silence,46,369.3002,369.2379,369.3013,-62.35,1.1,3.0,0,1
33,2,120,silence,47,369.8002,369.6701,369.7494,-130.19,-50.82,3.0,0,1
33,2,120,silence,48,370.3002,370.1226,370.1882,-177.66,-112.01,3.0,0,1
33,2,120,silence,49,370.8002,370.99,370.6264,189.77,-173.86,3.0,0,1
33,2,120,silence,50,371.3002,371.4534,371.5138,153.16,213.54,3.0,0,1
33,2,120,silence,51,371.8002,371.8898,371.942,89.57,141.74,3.0,0,1
33,2,120,silence,52,372.3002,372.3468,372.4339,46.59,133.7,3.0,0,1
33,2,120,silence,53,372.8002,372.7689,372.8713,-31.32,71.09,3.0,0,1
33,2,120,silence,54,373.3002,373.2382,373.3338,-62.0,33.57,3.0,0,1
33,2,120,silence,55,373.8002,373.6625,373.7902,-137.73,-10.08,3.0,0,1
33,2,120,silence,56,374.3002,374.1416,374.2439,-158.63,-56.33,3.0,0,1
33,2,120,silence,57,374.8002,374.6595,374.6743,-140.72,-125.92,3.0,0,1
33,2,120,silence,58,375.3002,375.1757,375.1233,-124.56,-176.91,3.0,0,1
33,2,120,silence,59,375.8002,375.5977,375.5894,-202.52,-210.87,3.0,0,1
33,2,120,silence,60,376.3002,376.4575,376.4877,157.23,187.44,3.0,0,1
33,2,120,silence,61,376.8002,376.9178,376.9313,117.59,131.02,3.0,0,1
33,2,120,silence,62,377.3002,377.3342,377.3844,33.91,84.18,3.0,0,1
33,2,120,silence,63,377.8002,377.7378,377.8261,-62.47,25.83,3.0,0,1
33,2,120,silence,64,378.3002,378.1828,378.2566,-117.48,-43.65,3.0,0,1
33,2,120,silence,65,378.8002,378.6358,378.7068,-164.41,-93.41,3.0,0,1
33,2,120,silence,66,379.3002,379.0865,379.1764,-213.76,-123.87,3.0,0,1
33,2,120,silence,67,379.8002,379.9452,379.6141,144.93,-186.14,3.0,0,1
33,2,120,silence,68,380.3002,380.4669,380.4989,166.67,198.7,3.0,0,1
33,2,120,silence,69,380.8002,380.8605,380.9351,60.22,134.9,3.0,0,1
33,2,120,silence,70,381.3002,381.3996,381.4458,99.35,145.52,3.0,0,1
33,3,150,metronome,1,386.2374,,,,,3.0,0,1
33,3,150,metronome,2,386.6374,386.6583,386.8104,20.94,173.07,3.0,0,1
33,3,150,metronome,3,387.0374,387.0281,387.1634,-9.27,125.98,3.0,0,1
33,3,150,metronome,4,387.4374,387.3818,387.4917,-55.54,54.32,3.0,0,1
