pair_id,trial,bpm,phase,beat,beat_time_s,p1_tap_s,p2_tap_s,async_p1_ms,async_p2_ms,diff1,diff2,loop,Condition
44,1,90,metronome,1,352.2033,,352.4918,,288.54,-6.0,0,1,a
44,1,90,metronome,2,352.87,352.8939,353.1023,23.9,232.36,-6.0,0,1,a
44,1,90,metronome,3,353.5366,353.5587,353.5907,22.08,54.03,-6.0,0,1,a
44,1,90,metronome,4,354.2033,354.1124,354.2341,-90.91,30.76,-6.0,0,1,a
44,1,90,metronome,5,354.87,354.8647,354.8466,-5.22,-23.33,-6.0,0,1,a
44,1,90,metronome,6,355.5366,355.5134,355.4925,-23.23,-44.15,-6.0,0,1,a
44,1,90,metronome,7,356.2033,356.1592,356.189,-44.08,-14.32,-6.0,0,1,a
44,1,90,metronome,8,356.87,356.8425,356.8387,-27.43,-31.25,-6.0,0,1,a
44,1,90,metronome,9,357.5366,357.5338,357.4924,-2.85,-44.23,-6.0,0,1,a
44,1,90,metronome,10,358.2033,358.1771,358.2011,-26.15,-2.21,-6.0,0,1,a
44,1,90,silence,11,358.87,358.8596,358.848,-10.33,-21.97,-6.0,0,1,a
44,1,90,silence,12,359.5366,359.5193,359.5158,-17.35,-20.79,-6.0,0,1,a
44,1,90,silence,13,360.2033,360.0948,360.151,-108.48,-52.32,-6.0,0,1,a
44,1,90,silence,14,360.87,360.709,360.7533,-160.98,-116.7,-6.0,0,1,a
44,1,90,silence,15,361.5366,361.3132,361.3373,-223.41,-199.3,-6.0,0,1,a
44,1,90,silence,16,362.2033,362.4775,361.9296,274.21,-273.73,-6.0,0,1,a
44,1,90,silence,17,362.87,363.1492,362.579,279.21,-291.0,-6.0,0,1,a
44,1,90,silence,18,363.5366,363.709,363.7817,172.42,245.03,-6.0,0,1,a
44,1,90,silence,19,364.2033,364.3114,364.3372,108.1,133.93,-6.0,0,1,a
44,1,90,silence,20,364.87,364.8671,364.9295,-2.85,59.58,-6.0,0,1,a
44,1,90,silence,21,365.5366,365.4793,365.4674,-57.3,-69.2,-6.0,0,1,a
