pair_id,trial,bpm,phase,beat,beat_time_s,p1_tap_s,p2_tap_s,async_p1_ms,async_p2_ms,diff1,diff2,loop
55,1,90,metronome,1,367.4456,367.7255,367.5944,279.88,148.77,2.0,0,1
55,1,90,metronome,2,368.1123,368.3862,,273.89,,2.0,0,1
55,1,90,metronome,3,368.7789,368.9962,368.8556,217.3,76.64,2.0,0,1
55,1,90,metronome,4,369.4456,369.5271,369.4616,81.5,15.95,2.0,0,1
55,1,90,metronome,5,370.1123,370.0791,370.1049,-33.18,-7.34,2.0,0,1
55,1,90,metronome,6,370.7789,370.7184,370.7545,-60.5,-24.46,2.0,0,1
55,1,90,metronome,7,371.4456,371.3876,371.3651,-58.05,-80.49,2.0,0,1
55,1,90,metronome,8,372.1123,372.031,372.0245,-81.23,-87.73,2.0,0,1
55,1,90,metronome,9,372.7789,372.7134,372.7379,-65.58,-41.0,2.0,0,1
55,1,90,metronome,10,373.4456,373.4077,373.3795,-37.9,-66.16,2.0,0,1
55,1,90,silence,11,374.1123,374.0132,374.037,-99.13,-75.26,2.0,0,1
55,1,90,silence,12,374.7789,374.6855,374.7279,-93.44,-51.07,2.0,0,1
55,1,90,silence,13,375.4456,375.3614,375.3384,-84.21,-107.2,2.0,0,1
55,1,90,silence,14,376.1123,376.003,375.9686,-109.23,-143.7,2.0,0,1
55,1,90,silence,15,376.7789,376.6312,376.5989,-147.73,-180.03,2.0,0,1
55,1,90,silence,16,377.4456,377.2206,377.2303,-225.04,-215.34,2.0,0,1
55,1,90,silence,17,378.1123,377.8449,377.8817,-267.36,-230.57,2.0,0,1
55,1,90,silence,18,378.7789,378.4763,378.5182,-302.64,-260.76,2.0,0,1
55,1,90,silence,19,379.4456,379.7489,379.7176,303.27,271.99,2.0,0,1
55,1,90,silence,20,380.1123,380.3383,380.3422,226.02,229.91,2.0,0,1
55,1,90,silence,21,380.7789,380.9515,380.9258,172.51,146.81,2.0,0,1
55,1,90,silence,22,381.4456,381.5527,381.5366,107.09,91.03,2.0,0,1
55,1,90,silence,23,382.1123,382.124,382.1542,11.74,41.89,2.0,0,1
55,1,90,silence,24,382.7789,382.7209,382.7657,-58.06,-13.28,2.0,0,1
55,1,90,silence,25,383.4456,383.3734,383.3212,-72.23,-124.38,2.0,0,1
55,1,90,silence,26,384.1123,383.9541,383.9124,-158.15,-199.91,2.0,0,1
55,1,90,silence,27,384.7789,384.5277,384.5079,-251.24,-271.05,2.0,0,1
55,1,90,silence,28,385.4456,385.6522,385.6385,206.61,192.85,2.0,0,1
55,1,90,silence,29,386.1123,386.1796,386.1934,67.31,81.15,2.0,0,1
55,1,90,silence,30,386.7789,386.7453,386.7255,-33.69,-53.42,2.0,0,1
55,1,90,silence,31,387.4456,387.2621,387.2756,-183.54,-170.0,2.0,0,1
55,1,90,silence,32,388.1123,388.291,388.2796,178.71,167.33,2.0,0,1
55,1,90,silence,33,388.7789,388.7395,388.7714,-39.46,-7.51,2.0,0,1
55,1,90,silence,34,389.4456,389.2232,389.2548,-222.44,-190.85,2.0,0,1
55,1,90,silence,35,390.1123,390.1547,390.1903,42.45,78.05,2.0,0,1
55,1,90,silence,36,390.7789,390.6238,390.6118,-155.11,-167.19,2.0,0,1
55,1,90,silence,37,391.4456,391.4986,391.4553,53.02,9.66,2.0,0,1
55,1,90,silence,38,392.1123,392.3065,391.9107,194.25,-201.6,2.0,0,1
55,1,90,silence,39,392.7789,392.7775,392.7176,-1.43,-61.37,2.0,0,1
55,1,90,silence,40,393.4456,393.5761,393.5546,130.47,108.95,2.0,0,1
55,1,90,silence,41,394.1123,393.9653,393.9731,-146.96,-139.23,2.0,0,1
55,1,90,silence,42,394.7789,394.7039,394.7967,-75.04,17.76,2.0,0,1
55,1,90,silence,43,395.4456,395.183,395.3609,-262.65,-84.74,2.0,0,1
55,1,90,silence,44,396.1123,395.8505,395.9495,-261.79,-162.81,2.0,0,1
55,1,90,silence,45,396.7789,396.9254,396.982,146.42,203.01,2.0,0,1
55,1,90,silence,46,397.4456,397.4821,397.4559,36.44,10.3,2.0,0,1
55,1,90,silence,47,398.1123,397.9432,397.9532,-169.08,-159.06,2.0,0,1
55,1,90,silence,48,398.7789,398.9331,398.8868,154.11,107.88,2.0,0,1
55,1,90,silence,49,399.4456,399.3894,399.3509,-56.19,-94.74,2.0,0,1
55,1,90,silence,50,400.1123,400.2513,400.2551,139.05,142.81,2.0,0,1
55,1,90,silence,51,400.7789,400.7045,400.6946,-74.45,-84.36,2.0,0,1
55,1,90,silence,52,401.4456,401.635,401.6179,189.35,172.24,2.0,0,1
55,1,90,silence,53,402.1123,402.0951,402.0451,-17.14,-67.14,2.0,0,1
55,1,90,silence,54,402.7789,402.9725,402.9462,193.56,167.29,2.0,0,1
55,1,90,silence,55,403.4456,403.4155,403.3654,-30.11,-80.25,2.0,0,1
55,1,90,silence,56,404.1123,404.2312,404.2283,118.94,116.04,2.0,0,1
55,1,90,silence,57,404.7789,404.6434,404.6714,-135.59,-107.54,2.0,0,1
55,1,90,silence,58,405.4456,405.5018,405.5194,56.22,73.76,2.0,0,1
55,1,90,silence,59,406.1123,405.9313,405.9258,-180.95,-186.48,2.0,0,1
55,1,90,silence,60,406.7789,406.7863,406.7462,7.4,-32.76,2.0,0,1
55,1,90,silence,61,407.4456,407.604,407.5947,158.41,149.09,2.0,0,1
55,1,90,silence,62,408.1123,407.9878,408.0001,-124.5,-112.17,2.0,0,1
55,1,90,silence,63,408.7789,408.7927,408.8041,13.77,25.18,2.0,0,1
55,1,90,silence,64,409.4456,409.5993,409.6134,153.69,167.75,2.0,0,1
55,1,90,silence,65,410.1123,409.9852,410.003,-127.05,-109.25,2.0,0,1
55,1,90,silence,66,410.7789,410.801,410.8086,22.06,29.61,2.0,0,1
55,1,90,silence,67,411.4456,411.628,411.5884,182.38,142.75,2.0,0,1
55,1,90,silence,68,412.1123,412.0078,411.9817,-104.46,-130.59,2.0,0,1
55,1,90,silence,69,412.7789,412.767,412.7367,-11.94,-42.22,2.0,0,1
55,1,90,silence,70,413.4456,413.531,413.5086,85.35,63.03,2.0,0,1
55,2,120,metronome,1,426.2709,,,,,2.0,0,1
55,2,120,metronome,2,426.7709,426.9443,426.7509,173.34,-20.03,2.0,0,1
55,2,120,metronome,3,427.2709,427.3523,427.2001,81.43,-70.8,2.0,0,1
55,2,120,metronome,4,427.7709,427.8055,427.7059,34.55,-65.07,2.0,0,1
